ID,day,Gammaproteobacteria,Bacilli,Bacteroidia,Clostridia,Actinobacteria,Alphaproteobacteria,Deinococci
CMU_16_12,21,0.02819257,0.033747461,0.05895353,0.127224943,0.693077291,0.009556803,0.000329
CMU_16_12,20,0.025092163,0.013289333,0.027440837,0.063533119,0.784159829,0.029789511,0.003121655
CMU_16_12,19,0.023244902,0.013463274,0.04464898,0.058798051,0.681970763,0.07388558,0.004042592
CMU_16_12,18,0.129837703,0.024344569,0.009363296,0.014669164,0.684144819,0.066791511,0.001248439
CMU_16_12,17,0.08202765,0.055299539,0.006451613,0.01843318,0.746543779,0.037788018,0.011981567
CMU_16_12,16,0.175129534,0.074611399,0.008290155,0.020725389,0.455958549,0.12746114,0.040414508
CMU_16_12,15,0.080597015,0.03880597,0.113432836,0.007960199,0.275621891,0.167661692,0.017910448
CMU_16_12,14,0.167400881,0.083700441,0.110132159,0,0.281938326,0.140969163,0
CMU_16_12,13,0.669570267,0.102787456,0.00116144,0,0.151567944,0.038908246,0.019744483
CMU_16_12,12,0.037708831,0.028162291,0.075894988,0.020047733,0.448210024,0.165155131,0.024343675
CMU_16_12,11,0.019446605,0.007445272,0.093454828,0.007445272,0.244471608,0.212579175,0.018113124
CMU_16_12,10,0.216019417,0.281553398,0.009708738,0,0.211165049,0.123786408,0
CMU_16_12,9,0.305555556,0.444444444,0.055555556,0,0,0.055555556,0
CMU_16_12,8,0.428571429,0.071428571,0.091836735,0.102040816,0,0.06122449,0
CMU_16_12,7,0.32038835,0.165048544,0.097087379,0,0.203883495,0.155339806,0.038834951
CMU_16_12,6,0.353846154,0.046153846,0.076923077,0,0.169230769,0.292307692,0.030769231
CMU_16_12,5,0.140127389,0.105095541,0.159235669,0,0.315286624,0.149681529,0.02866242
CMU_16_12,4,0.022857143,0.068571429,0.034285714,0.034285714,0.474285714,0.182857143,0.034285714
CMU_16_12,3,0.333333333,0,0,0,0.541666667,0,0
CMU_16_12,2,0.332446809,0.005319149,0.167553191,0.005319149,0.103723404,0.034574468,0.026595745
CMU_16_12,1,0.727272727,0,0.068181818,0,0.136363636,0,0
CMU_16_14,21,0.056962856,0.178238614,0.013781336,0.228638929,0.493109332,0.006168789,0.000263
CMU_16_14,20,0.052263907,0.08771022,0.017852523,0.117464424,0.609055627,0.040362225,0.007761966
CMU_16_14,19,0.029918616,0.342420073,0.003731082,0.153254203,0.459599375,0.005666581,0
CMU_16_14,18,0.271966527,0.121338912,0.012552301,0.075313808,0.238493724,0.058577406,0
CMU_16_14,17,0.234901389,0.036221318,0.106208273,0.004834625,0.194612846,0.163533113,0.001765022
CMU_16_14,16,0.149074074,0.067592593,0.081481481,0.062037037,0.400925926,0.096296296,0.007407407
CMU_16_14,15,0.039813486,0.06133429,0.070659971,0.057388809,0.289454806,0.2482066,0.020803443
CMU_16_14,14,0.205220061,0.058341863,0.073694985,0.002558854,0.169907881,0.172978506,0.005629478
CMU_16_14,13,0.306179775,0.098314607,0.008426966,0.070224719,0.362359551,0.030898876,0.112359551
CMU_16_14,12,0.018811136,0.006882663,0.09106803,0.001106537,0.19455141,0.23150976,0.015181693
CMU_16_14,11,0.266272189,0.140532544,0.028106509,0.028106509,0.331360947,0.057692308,0.032544379
CMU_16_14,10,0.273015873,0.146031746,0.101587302,0,0.117460317,0.20952381,0.044444444
CMU_16_14,9,0.053069054,0.090792839,0.067774936,0.000639,0.284526854,0.242007673,0.005434783
CMU_16_14,8,0.296296296,0.074074074,0.055555556,0.12962963,0.111111111,0.092592593,0.092592593
CMU_16_14,7,0.896551724,0,0,0,0,0,0
CMU_16_14,6,0.444444444,0.154320988,0,0.061728395,0.111111111,0.061728395,0.067901235
CMU_16_14,5,0.021784961,0.014054814,0.088545327,0.001405481,0.243148278,0.198172874,0.005621926
CMU_16_14,4,0.769230769,0.076923077,0,0,0.076923077,0.076923077,0
CMU_16_14,3,0.30625,0,0.0625,0,0.13125,0.3875,0.04375
CMU_16_14,2,0.462603878,0.04432133,0.152354571,0.008310249,0.011080332,0.138504155,0.008310249
CMU_16_14,1,0.311320755,0.037735849,0.169811321,0.037735849,0.103773585,0.132075472,0.094339623
CMU_16_15,21,0.609625668,0.069518717,0.016042781,0,0.090909091,0.144385027,0
CMU_16_15,20,0.484042553,0.265957447,0,0,0,0.175531915,0.074468085
CMU_16_15,19,0.157657658,0.009009009,0.175675676,0,0.184684685,0.144144144,0.045045045
CMU_16_15,18,0.083813747,0.042128603,0.112638581,0.01286031,0.289578714,0.229268293,0.013747228
CMU_16_15,17,0.353293413,0.105788423,0.037924152,0.017964072,0.161676647,0.249500998,0.02994012
CMU_16_15,16,0.2812594,0.034994485,0.099568836,0.003308934,0.197132257,0.162639126,0.001002707
CMU_16_15,15,0.654929577,0.14084507,0,0,0.056338028,0.133802817,0
CMU_16_15,14,0.040394402,0.035941476,0.121819338,0.006679389,0.219783715,0.16062341,0.013358779
CMU_16_15,13,0.404958678,0.099173554,0.049586777,0,0.074380165,0.173553719,0
CMU_16_15,12,0.225253748,0.096098333,0.0663004,0.002979793,0.207374988,0.173107366,0.003631623
CMU_16_15,11,0.389105058,0.073929961,0.031128405,0,0.147859922,0.19844358,0.027237354
CMU_16_15,10,0.060795455,0.014772727,0.063636364,0,0.241477273,0.303977273,0.044318182
CMU_16_15,9,0.581288344,0.127300613,0.047546012,0,0.062883436,0.058282209,0.076687117
CMU_16_15,8,0.268292683,0.195121951,0.085365854,0.036585366,0.146341463,0.109756098,0
CMU_16_15,7,0.16957606,0.02244389,0.152119701,0,0.097256858,0.162094763,0
CMU_16_15,6,0.457534247,0.084931507,0.079452055,0.005479452,0.131506849,0.079452055,0.01369863
CMU_16_15,5,0.403508772,0.070175439,0.140350877,0,0.070175439,0.315789474,0
CMU_16_15,4,0.184615385,0.084615385,0,0,0.246153846,0.353846154,0.023076923
CMU_16_15,3,0.657894737,0.052631579,0,0,0.131578947,0.052631579,0.052631579
CMU_16_15,2,0.7421875,0.0859375,0.078125,0,0.0234375,0,0.015625
CMU_16_15,1,0.153583618,0.04778157,0.030716724,0.013651877,0.112627986,0.184300341,0.006825939
CMU_16_3,21,0.022303595,0.012316911,0.031624501,0.406125166,0.501498003,0.003661784,0
CMU_16_3,20,0.009291521,0.010162602,0.003774681,0.161730546,0.515679443,0.029907085,0
CMU_16_3,19,0.07970313,0.023233301,0.075830913,0.227815424,0.50887383,0.023555986,0
CMU_16_3,18,0.010869565,0.043478261,0,0.190217391,0.717391304,0.010869565,0
CMU_16_3,17,0.312620115,0.053171044,0.062780269,0.060217809,0.345932095,0.046124279,0
CMU_16_3,16,0.692307692,0,0,0,0,0,0
CMU_16_3,15,0.091836735,0.022108844,0.027210884,0.181972789,0.557823129,0.051020408,0
CMU_16_3,14,0.039092664,0.02027027,0.041988417,0.173745174,0.613416988,0.055984556,0
CMU_16_3,13,0.021451271,0.0625,0.113082627,0.043961864,0.731197034,0.015360169,0
CMU_16_3,12,0.062987737,0.033584169,0.008500557,0.31925864,0.501393534,0.008918618,0.000418
CMU_16_3,11,0.881918185,0.049501547,0.028532142,0.006359574,0.021828807,0.002578206,0
CMU_16_3,10,0.357397858,0.140817136,0.030940103,0.086076954,0.324077747,0.056326854,0
CMU_16_3,9,0.617630353,0.063841872,0.104169033,0.039191185,0.134386005,0.013063728,0.000909
CMU_16_3,8,0.718446602,0.145631068,0.077669903,0.019417476,0.038834951,0,0
CMU_16_3,7,0.807734205,0.045751634,0.024782135,0.024509804,0.072440087,0.003540305,0
CMU_16_3,6,0.729101445,0.137214414,0.105042297,0.014254313,0.007326983,0.001998268,0
CMU_16_3,5,0.848420413,0.104040097,0.036755772,0.001215067,0.008353584,0.001215067,0
CMU_16_3,4,0.810260586,0.083876221,0.076004343,0.019815418,0.002714441,0.002985885,0
